Timestamp,AccelX,AccelY,AccelZ
0,0.08342,0.150955,-0.977112
0.000218,0.091812,0.158447,-0.983261
0.019168,0.085663,0.168854,-0.988708
0.019394,0.063705,0.17453,-0.980835
0.038335,0.045746,0.163055,-0.972473
0.038559,0.043152,0.149551,-0.982162
0.057553,0.048477,0.140198,-0.985275
0.057747,0.056519,0.133163,-0.982452
0.076735,0.071869,0.138428,-0.997726
0.076926,0.069016,0.143295,-1.015366
0.095953,0.065979,0.152817,-0.985336
0.096159,0.063644,0.160309,-0.974075
0.11513,0.067703,0.161942,-0.997223
0.115326,0.064407,0.157242,-0.983368
0.134306,0.063385,0.156235,-0.956757
0.134533,0.074432,0.157379,-0.968246
0.15352,0.09169,0.152344,-0.982574
0.153719,0.09436,0.14798,-0.967133
0.172672,0.087418,0.151703,-0.984375
0.172864,0.074661,0.15535,-1.011276
0.191892,0.059067,0.165176,-1.013519
0.192081,0.03923,0.158936,-1.012756
0.211095,0.0327,0.149399,-1.023697
0.211286,0.039932,0.137161,-1.03363
0.230306,0.058517,0.118454,-1.027466
0.230533,0.075058,0.112961,-0.994644
0.249442,0.082214,0.126755,-0.995621
0.249634,0.087814,0.142975,-1.016205
0.268655,0.098862,0.158951,-1.022217
0.268846,0.107208,0.180023,-1.019226
0.287818,0.110626,0.179749,-0.998886
0.288008,0.105118,0.175415,-0.994614
0.307005,0.0923,0.171295,-0.999329
0.307196,0.090454,0.170715,-1.013306
0.326225,0.085739,0.162079,-1.019547
0.326455,0.077148,0.153381,-1.013412
0.345393,0.064865,0.138794,-0.996902
0.345585,0.05629,0.130234,-0.978317
0.364568,0.061966,0.126389,-0.970154
0.364758,0.063217,0.122055,-0.956207
0.383756,0.069077,0.124252,-0.939941
0.383949,0.067184,0.129486,-0.923325
0.402942,0.068436,0.138123,-0.935959
0.403132,0.068237,0.133209,-0.956299
0.422144,0.058609,0.13385,-0.956238
0.422373,0.052673,0.138214,-0.965622
0.441318,0.056686,0.136948,-0.994659
0.441508,0.050507,0.141693,-0.991562
0.460511,0.047043,0.141083,-0.975037
0.460707,0.056854,0.136795,-0.979248
0.479724,0.072647,0.134384,-0.98381
0.479922,0.087936,0.130722,-0.963211
0.498924,0.101791,0.133987,-0.949921
0.499121,0.108673,0.137405,-0.96077
0.518102,0.110794,0.137451,-0.970261
0.518326,0.094849,0.139709,-0.96962
0.537319,0.08989,0.15712,-0.994568
0.537526,0.093781,0.169159,-1.009079
0.556475,0.095474,0.177673,-1.008011
0.556673,0.094696,0.174805,-1.013916
0.575666,0.090927,0.177887,-1.020569
0.575855,0.091293,0.170166,-1.006668
0.594835,0.099304,0.161179,-0.99971
0.595029,0.107483,0.15657,-0.994431
0.614013,0.110977,0.143356,-0.997604
0.614237,0.106689,0.140244,-0.995773
0.633282,0.098694,0.137131,-0.989365
0.633489,0.088959,0.136902,-0.995438
0.652442,0.089722,0.144058,-1.006119
0.652633,0.085831,0.146194,-0.99472
0.67161,0.081177,0.146133,-0.97966
0.671802,0.082062,0.136932,-0.987762
0.690937,0.086136,0.14093,-0.979828
0.691124,0.088028,0.146576,-0.985611
0.709936,0.086792,0.155823,-1.005386
0.71016,0.083008,0.155319,-0.996918
0.72923,0.075104,0.159042,-0.990204
0.729423,0.074234,0.162338,-0.999008
0.748447,0.080048,0.158035,-0.996475
0.748651,0.080795,0.141998,-0.978455
0.76761,0.091537,0.13324,-0.976074
0.767804,0.089951,0.131943,-0.992004
0.78684,0.078033,0.139374,-1.006393
0.787039,0.062668,0.139923,-1.007233
0.805906,0.045349,0.136368,-1.015182
0.806131,0.035538,0.135117,-1.016876
0.825209,0.044586,0.140228,-1.005905
0.825403,0.052353,0.157043,-0.993652
0.844392,0.065475,0.169739,-0.992065
0.844597,0.07901,0.151855,-0.984802
0.863603,0.084183,0.134308,-0.971832
0.863795,0.088242,0.117386,-0.974045
0.882765,0.095078,0.110428,-0.971237
0.882957,0.104919,0.126663,-0.976318
0.90195,0.108627,0.138123,-1.005981
0.902169,0.106491,0.149155,-1.008682
0.921145,0.101273,0.151886,-1.003143
0.921335,0.096802,0.15535,-1.024506
0.940544,0.075531,0.157028,-1.032516
0.940733,0.071259,0.152802,-1.018692
0.95948,0.076767,0.155655,-1.020538
0.95967,0.090622,0.144272,-1.003647
0.978712,0.10495,0.131851,-0.983124
0.978903,0.121536,0.137344,-0.9776
0.997788,0.135406,0.147308,-0.97287
0.997925,0.136978,0.166016,-0.966629
1.017188,0.129913,0.171631,-0.979446
1.017397,0.1185,0.166626,-0.969437
1.036351,0.108093,0.155533,-0.965317
1.036552,0.112762,0.151428,-0.977478
1.055423,0.120453,0.147964,-0.961197
1.055616,0.121841,0.149994,-0.948685
1.074689,0.125931,0.15303,-0.940765
1.074885,0.126633,0.166351,-0.908401
1.093835,0.138992,0.166565,-0.900803
1.094074,0.143127,0.159607,-0.896591
1.11307,0.13205,0.16066,-0.884857
1.11326,0.120148,0.147247,-0.887375
1.13224,0.112534,0.131454,-0.885681
1.132432,0.104126,0.118546,-0.871994
1.151462,0.109924,0.118713,-0.850601
1.151668,0.121796,0.123245,-0.858643
1.17063,0.133499,0.123352,-0.866699
1.170823,0.145599,0.12294,-0.846146
1.189837,0.159531,0.123428,-0.822357
1.190056,0.172333,0.112228,-0.824127
1.209019,0.184692,0.115768,-0.832397
1.209209,0.193573,0.136597,-0.8311
1.22818,0.194916,0.149109,-0.817566
1.228372,0.199722,0.158432,-0.805176
1.247419,0.200516,0.171066,-0.79924
1.247614,0.195801,0.177994,-0.80101
1.266568,0.179443,0.175293,-0.820679
1.266764,0.15007,0.152695,-0.852234
1.285752,0.116806,0.126801,-0.866058
1.28597,0.09314,0.109772,-0.854187
1.304962,0.093536,0.11171,-0.852951
1.305155,0.117081,0.109787,-0.848785
1.324127,0.146347,0.116379,-0.851791
1.324317,0.159988,0.130188,-0.841156
1.343547,0.150558,0.14357,-0.818558
1.343743,0.12648,0.131027,-0.791748
1.362509,0.102417,0.114792,-0.785736
1.362702,0.087753,0.105667,-0.798828
1.381689,0.086334,0.103119,-0.785919
1.381915,0.099289,0.107834,-0.766312
1.400511,0.113861,0.111206,-0.787964
1.400618,0.11261,0.117844,-0.816086
1.420106,0.096207,0.108093,-0.83728
1.420305,0.060959,0.084183,-0.851837
1.439181,0.023926,0.061768,-0.861572
1.43937,0.002853,0.052902,-0.890671
1.45848,-0.0065,0.07309,-0.914703
1.458685,-0.011597,0.093674,-0.912735
1.477624,-0.004379,0.132446,-0.898438
1.47785,0.00383,0.165558,-0.879257
1.496829,0.015945,0.190613,-0.865906
1.497022,0.030258,0.192657,-0.874374
1.516004,0.028412,0.157486,-0.896149
1.516195,0.023727,0.116699,-0.936569
1.535201,0.028458,0.087143,-0.992859
1.535393,0.028458,0.068604,-1.017639
1.554408,0.029968,0.087738,-1.030716
1.554602,0.012833,0.134933,-1.057449
1.573544,-0.021576,0.182007,-1.064285
1.573767,-0.054581,0.215836,-1.042816
1.592689,-0.084183,0.236145,-1.019608
1.592877,-0.09227,0.226089,-1.000275
1.611929,-0.083771,0.177185,-1.006958
1.612118,-0.073471,0.110001,-1.021332
1.631101,-0.055801,0.058685,-1.050293
1.631293,-0.024887,0.039276,-1.068085
1.650594,0.001099,0.083664,-1.083908
1.650793,-0.002075,0.172241,-1.100098
1.669509,-0.037201,0.237503,-1.116119
1.669737,-0.074478,0.270279,-1.106735
1.688601,-0.131332,0.295746,-1.086533
1.688791,-0.188232,0.315399,-1.06955
1.707835,-0.218109,0.317368,-1.068237
1.708026,-0.218948,0.312149,-1.056549
1.726909,-0.204391,0.282669,-1.040756
1.727101,-0.178772,0.228271,-1.066177
1.746224,-0.158798,0.191956,-1.082565
1.746414,-0.137177,0.188812,-1.10144
1.765431,-0.134033,0.193069,-1.117966
1.765651,-0.1465,0.207062,-1.078552
1.784569,-0.172699,0.241425,-1.049347
1.784761,-0.193542,0.277451,-1.025146
1.803926,-0.20726,0.298416,-1.048309
1.804117,-0.225525,0.303665,-1.101715
1.822956,-0.24913,0.243301,-1.125305
1.823146,-0.23912,0.162979,-1.145096
